DEPARTMENT,DeptName,avgGPA
REEI, Russian & East European Inst,2.1666666666666665
MATH, Mathematics,2.398532073195254
CHEM, Chemistry,2.7289707333114106
ANAT, Anatomy,2.741451414514145
PHSL, Physiology,2.784843205574913
AST, Astronomy,2.7981902792140634
ECON, Economics,2.835570595976688
CSCI, Computer Science,2.8570674812552066
MSCI, Medical Sciences,2.8634393063583814
SPEA, Public And Envir Affairs,2.9168835341365464
HIST, History,2.9355061349693248
EAS, Earth and Atmospheric Sciences,2.939425837320574
ARTH, Art History,2.971312083024462
FRIT, French And Italian,2.9784230606189066
POLS, Political Science,2.9940978593272174
AAAD, Afro-American Studies,2.9985581000848174
HISP, Spanish,3.008265606086806
HISP, Spanish & Portuguese,3.008265606086806
PHIL, Philosophy,3.0091263216471895
PHYS, Physics,3.0200194836824164
ANTH, Anthropology,3.0329173166926675
CMLT, Comparative Literature,3.0360082304526745
JSTU, Jewish Studies,3.053361344537815
EALC, East Asian Lang & Culture,3.0598081952920664
CJUS, Criminal Justice-Coas,3.0637748756218905
GER, Germanic Studies,3.069214131218457
GER, Germanic Languages,3.069214131218457
ENG, English,3.0708791208791206
SLST, Second Language Studies,3.0713161659513597
REL, Religious Studies,3.071541218637993
PSY, Psychological & Brain Sciences,3.0736459100957996
CLAS, Classical Studies,3.074752964426878
FOLK, Folklore and Ethnomusicology,3.076708407871199
INTL, International Studies,3.0770826132042868
COLL, College of Arts & Sciences,3.0895938756974175
MSCH, Media School,3.0949180736920905
HPSC, Hist & Phil Of Sci & Medicine,3.1046931407942244
SOC, Sociology,3.10662662274753
GEOG, Geography,3.1112773302646723
EURO, European Studies,3.1166666666666667
STAT, Statistics,3.1201541850220265
AMST, American Studies,3.1219922380336356
BIOL, Biology,3.1385351188849415
BUS, Business,3.1581886392480083
LTAM, Latin American Studies,3.162105263157896
INFO, Informatics,3.173972928045595
COGS, Cognitive Science,3.1929618768328436
ENGR, Intel Sys Engineering,3.2134615384615386
SPHS, Speech & Hearing Sciences,3.2192243536280234
LING, Linguistics,3.23125
HUBI, Human Biology,3.239302325581396
SOAD, School of Art & Design,3.2493558165971965
LSTU, Labor Studies,3.254411764705883
SWK, Social Work,3.2666919575113815
BIOT, Biology,3.2824390243902437
FRST, Overseas Studies,3.283333333333333
GNDR, Gender Studies,3.285416666666667
GLLC, Global Village Lvg-Lrng Center,3.2921052631578953
SPH, Public Health,3.2978262360282518
ABEH, Animal Behavior,3.3158940397350998
LATS, Latino Studies,3.3180379746835436
EDUC, Education,3.3481659047831425
CEUS, Central Eurasian Studies,3.3615141955835974
SLAV, Slav&East Euro Lang & Cultures,3.3680061823802157
AFRI, African Studies,3.379182879377432
SEAS, Southeast Asian Studies,3.420588235294118
NURS, Nursing,3.4216787103946635
INST, India Studies,3.4327868852459016
LAMP, Liberal Arts And Mgmt Program,3.4480916030534354
CLLC, Collins Living-Learning Center,3.4656756756756755
MLS, Molecular Life Science Program,3.4972972972972975
MUS, Music,3.5114838048905397
TOPT, Optometric Technology,3.5333333333333337
NELC, Near Eastern Lang & Cult,3.5417794970986463
ILS, Information & Library Science,3.545217391304348
THTR, Theatre Drama & Cntmp Dance,3.6029901461094123
HON, Honors,3.6235945485519587
PACE, Political and Civic Engagement,3.630962343096235
MIL, Military,3.6322709163346616
AERO, Aerospace Studies,3.6618811881188122
IMP, Individualized Major Program,3.665714285714286
AAST, Asian American Studies,3.7263513513513513
